Address (Line 1),Address (Line 2),Address (Line 3),Address (Line 4),Eircode,County Description,Local Authority Description,Phone No.,Email,School Type Description,Ethos Description,Island (Y/N),DEIS (Y/N),Irish Classification Description,Gaeltacht Indicator (Y/N),Enrolment per Return
TEMPLE STREET,DUBLIN 1,,,D01YC67,Dublin,Dublin City Council,018784630,mary.chambers@cuh.ie,Special Education,Catholic,N,N,No subjects through Irish,N,68
Glenmaroon,Chapelizod,Dublin 20,,D20A072,Dublin,Dublin City Council,018201859,principalgorevan@gmail.com,Special Education,Catholic,N,N,No subjects through Irish,N,166
College Street,Baldoyle,Dublin 13,,D13W827,Dublin,Fingal County Council,018323043,baldoyleschool@smh.ie,Special Education,Multi Denominational,N,N,No subjects through Irish,N,56
VERNON AVENUE,CLONTARF,DUBLIN 3,,D03K298,Dublin,Dublin City Council,018542230,mbcollins@crc.ie,Special Education,Catholic,N,N,No subjects through Irish,N,95
SANDYMOUNT AVENUE,DUBLIN 4,,,D04XH22,Dublin,Dublin City Council,012615907,sandymountschool.office@enableireland.ie,Special Education,Catholic,N,N,No subjects through Irish,N,43
ST JOSEPHS SCHOOL FOR,VISUALLY IMPAIRED BOYS,DRUMCONDRA,DUBLIN 9,D09C803,Dublin,Dublin City Council,018373696,principal@stjosephsprimaryvi.ie,Special Education,Catholic,N,N,No subjects through Irish,N,57
Obelisk Park,Carysfort Avenue,Blackrock,Co. Dublin,A94X8K7,Dublin,Dun Laoghaire Rathdown,012881771,staugustines@sjog.ie,Special Education,Catholic,N,N,No subjects through Irish,N,158
35 NORTHUMBERLAND ROAD,BALLSBRIDGE,DUBLIN 4,,D04FD21,Dublin,Dublin City Council,016678141,office@stdeclans.ie,Special Education,Catholic,N,N,No subjects through Irish,N,36
St. Michael's House,Grosvenor School,Leopardstown Road,Dublin 18,D18KR80,Dublin,Dun Laoghaire Rathdown,012950534,john.fitzpatrick@smh.ie,Special Education,Catholic,N,N,No subjects through Irish,N,69
Ballymun Road,Dublin 9,,,D09R297,Dublin,Dublin City Council,018840326,ballymun.sns@smh.ie,Special Education,Catholic,N,N,No subjects through Irish,N,49
CRUMLIN,DUBLIN 12,,,D12V004,Dublin,Dublin City Council,014096414,info@olhs.ie,Special Education,Catholic,N,N,No subjects through Irish,N,78
